custid,y_gt
220704,0
660734,1
196131,0
12769,0
176956,0
796753,0
637086,0
190534,0
983747,0
456608,0
347024,0
672407,0
741034,0
142119,0
783523,0
715401,0
324307,0
853107,0
62196,0
717802,0
678202,0
554105,0
977931,0
634975,0
705820,0
292108,0
494360,0
490600,0
45916,0
178394,0
594765,0
679995,0
875806,0
85368,1
425125,0
543372,0
33769,0
256069,0
545106,0
477432,0
471658,0
614817,0
138349,0
31484,0
522737,0
192375,0
242851,0
459958,0
104723,0
260155,0
644810,0
180830,0
565354,1
369776,0
530912,0
710781,0
89468,0
718367,1
628870,0
13470,0
363611,0
127410,0
852952,0
542836,0
516541,0
917400,0
750283,0
849777,0
306782,0
493711,0
34722,0
50861,0
84002,0
301178,0
86180,0
311307,0
895771,0
432885,0
276650,0
800964,0
864478,0
447223,0
59581,0
417799,0
781316,0
40292,0
730965,0
445761,0
165858,0
306145,0
778276,0
225546,0
976072,0
372583,0
873340,0
619786,0
30233,0
933445,0
554865,0
428466,0
507305,0
105720,0
857769,0
685214,0
180968,0
851513,0
762415,0
775732,0
114409,0
510359,0
717824,0
143498,0
852670,0
26274,0
495058,0
158744,0
967710,0
211595,0
675641,1
528134,0
340423,0
461311,0
237304,0
785987,0
51939,0
984473,0
509047,0
548635,0
511275,0
321865,0
378884,0
315379,1
32037,0
990286,0
290116,0
538053,1
959341,0
684943,0
117304,0
632257,0
23765,0
524085,0
202205,0
867872,0
603663,0
239141,0
359326,0
534548,0
329453,0
508207,0
272573,0
32787,0
311552,0
480395,0
977207,0
986454,0
105936,0
736126,0
552864,0
308600,0
414736,1
94582,0
603268,0
988304,1
416524,0
325496,0
112353,0
772017,0
219865,0
348936,0
183056,0
749356,0
512472,0
995801,0
979404,1
232073,0
850091,0
571415,0
283103,0
717836,0
722245,0
64562,0
514545,0
41130,0
201183,0
109206,0
494305,0
306814,0
852786,0
997213,0
500196,0
726788,0
873468,0
846689,0
286799,0
267814,0
121893,0
69367,0
944780,0
302818,0
543351,0
818628,0
478848,0
432078,0
355926,0
60194,0
156583,0
261121,0
493901,0
831911,0
83424,0
1861,0
314324,0
720030,0
932590,0
596205,0
90269,0
973969,0
705545,0
23508,0
235756,0
97572,0
612512,0
474931,0
586333,0
830428,0
194996,0
331222,0
52937,0
216913,0
61339,0
971277,0
287735,0
970740,0
920210,0
487845,0
189209,0
267153,0
579586,1
327050,0
769317,0
877311,0
364451,0
307537,0
819225,0
819545,0
949245,0
454433,0
690105,0
827158,0
476282,0
353574,0
399876,0
183842,0
495453,0
166656,0
493650,0
198800,0
545601,0
810722,0
265939,0
860466,0
564512,0
255341,0
430336,0
312441,0
799690,0
354751,0
122655,0
25084,1
537471,0
152643,0
780903,0
605202,0
133600,0
587783,0
742743,0
900830,0
235425,0
497302,0
869315,0
396996,0
982362,0
919179,0
146731,0
934824,0
877431,0
969463,0
173999,0
464668,0
895954,0
664524,0
546859,0
110051,0
394684,0
288868,0
374160,0
377922,0
620257,0
486149,0
329822,0
994179,0
898373,0
728819,0
878708,0
528675,0
486214,0
579704,0
726179,0
889218,0
185793,0
340014,0
546873,0
685433,0
681991,0
527081,0
425756,0
995790,0
502355,0
650685,0
888463,0
264742,0
252774,0
782499,0
976456,0
233847,0
669398,0
583709,0
349625,0
17334,0
858729,0
340551,1
719638,0
941576,1
739404,0
947485,0
70727,0
500888,0
454442,0
910753,0
842748,0
675237,0
230066,0
901065,0
761925,0
819008,0
329954,0
784397,0
242811,0
92148,0
439660,1
618071,0
295891,0
694512,0
443538,1
284486,0
446466,1
878425,0
328016,0
26780,0
593505,0
532817,0
841243,0
616330,0
939611,0
442341,0
437591,0
12993,0
333527,0
68246,0
978346,0
56899,0
12435,0
411514,0
791500,0
348726,0
958029,0
113993,0
