custid,y_gt
600033,0
888919,0
397502,0
312758,0
525999,0
46773,0
990980,0
707177,0
954980,0
858056,0
18012,0
110965,0
760510,0
958354,0
373069,0
735461,0
30506,0
936510,0
986791,0
426157,0
182630,0
486931,0
132778,0
865412,0
21131,0
159877,0
824161,0
821019,0
980794,0
589192,0
198029,0
113781,0
440745,0
316554,0
330677,1
518213,0
144866,0
473430,0
308675,0
701120,0
764384,0
427025,0
843387,0
288012,0
700515,0
47756,0
329855,0
521384,0
304636,0
287044,0
473787,0
942805,0
679913,0
293569,1
211474,0
234034,0
580538,0
771627,0
816331,0
239600,0
403691,0
919441,0
529053,0
229097,0
192244,0
821451,0
583729,0
863285,0
973797,0
697376,0
635435,0
936029,0
128914,0
893880,0
732835,0
635139,0
246366,0
243518,0
567170,1
821195,0
1880,0
659340,0
885573,0
517511,0
397902,1
505576,0
962949,1
289547,0
568218,0
966798,0
572445,0
408195,0
57512,0
369605,0
941909,0
476202,0
877388,0
633750,0
314363,0
614012,1
2220,0
697973,0
951621,0
879553,0
109273,0
690966,0
956080,0
645659,0
666652,0
156797,0
361312,0
766815,0
844263,0
92280,0
994768,0
235155,0
958919,0
447282,0
931975,1
749554,0
622529,0
717100,0
460435,0
811960,0
613551,0
880958,0
76808,0
762512,0
932678,0
905256,0
238770,0
261247,0
558922,0
191677,0
360513,0
156219,0
625951,0
813716,0
680317,0
616335,0
385865,0
236941,0
59338,0
243469,0
786962,0
516828,0
944682,0
409058,0
490239,1
900772,0
666503,0
296499,0
112968,1
876177,0
796818,0
912103,0
224792,0
22465,0
662583,0
813300,0
350111,0
918599,1
673180,0
621984,0
66988,1
163713,0
706437,0
949770,0
150748,0
418913,0
466931,0
36698,0
206072,0
143880,0
331801,0
175049,0
950054,0
954,0
276615,0
356764,0
76350,0
555013,0
36274,0
742015,0
874216,0
234339,0
75123,0
212418,0
456002,0
709523,0
652226,0
316374,0
424570,0
56327,0
292486,0
639896,1
640497,0
429190,0
644547,0
581957,0
839041,0
68107,0
607556,0
664782,0
660916,0
996914,0
741318,0
612613,0
643126,0
714653,0
641243,0
19428,0
326389,0
900804,0
361246,0
260869,0
535668,0
43582,0
330222,0
157004,0
523232,0
441578,0
91695,0
926958,0
406864,0
771395,0
394032,0
362798,0
739433,0
455432,0
185771,0
421532,0
343984,0
99893,0
406029,1
610559,0
408802,0
457489,1
961197,0
186135,0
573136,0
901815,0
478808,0
699678,0
882555,0
75034,0
263203,0
104041,0
877562,0
984260,0
895889,0
621591,0
175456,0
360409,0
718191,0
74830,0
119245,0
579351,0
503988,0
540331,0
710900,0
60987,0
765413,0
241454,0
788065,0
482231,0
682264,0
895569,0
118034,0
939741,0
52366,0
888891,0
397680,0
820955,0
277398,0
596507,0
121969,0
729628,0
683393,0
343947,0
123276,0
118649,0
753232,0
590517,0
159815,0
670274,0
109160,0
390104,0
777683,0
929762,0
147518,0
869256,0
62751,0
751850,0
910439,0
585904,0
380319,0
784080,0
858886,0
425480,0
847032,0
818810,0
94506,0
595038,0
466290,0
231368,0
719959,0
146279,0
920219,0
202132,0
976723,0
490519,0
680364,0
668628,0
313322,0
197072,0
866935,0
487399,0
859767,0
944889,0
405481,0
659836,0
24163,0
28017,0
893129,0
548082,0
571173,0
543981,0
429074,0
724111,0
208050,0
379428,0
921727,0
317122,0
996054,0
382748,0
580905,0
305579,0
653803,0
909476,0
608412,0
306153,0
448387,0
20290,0
494581,0
699168,0
153345,0
409197,0
121856,0
790419,0
173821,0
878523,0
14256,0
457650,0
453817,1
295539,0
345015,0
544380,1
585243,0
878837,0
283829,0
729663,0
396050,0
888263,0
425772,0
858088,0
707311,0
624434,0
833062,0
198773,0
629899,0
889716,0
774699,0
892266,0
247655,0
418010,0
748004,0
376370,0
638152,0
911065,0
208464,0
762213,0
78943,0
74110,0
220922,0
397284,0
74203,1
822026,0
640755,0
522495,0
895245,0
223753,0
914813,0
915340,0
890115,0
391385,0
924594,1
274808,0
448369,0
87770,0
742572,0
407957,0
40648,0
759850,0
953992,0
805792,0
767089,0
720026,0
509608,0
994724,0
360823,0
83348,0
489634,0
743216,0
879851,0
972778,0
