custid,y_gt
774351,0
438674,0
784330,0
565895,0
913310,0
552258,0
982497,0
599780,0
49367,0
292471,0
94074,0
330443,0
910928,0
303481,0
345084,0
720099,0
915897,0
508747,0
285076,0
803007,0
662674,0
869793,0
819161,0
174745,0
537758,0
787164,1
750599,0
804139,0
160239,0
608309,0
754733,0
454597,0
151354,1
600662,0
147892,0
903166,0
576933,0
548912,1
569089,0
568615,0
953115,0
293549,1
984791,0
876243,0
655096,0
504924,1
703055,0
316040,0
172850,0
899752,0
39412,0
69124,0
647190,0
231040,0
469881,0
833252,0
56422,0
307865,0
128103,0
38390,0
889498,0
355638,0
928404,0
752463,0
427507,1
956252,0
328548,0
785531,0
534095,0
104451,0
318227,0
807132,0
147222,0
75640,0
86079,0
253286,0
829425,0
688107,1
570453,0
539445,1
308644,0
194323,0
652844,0
536357,0
796216,1
14569,0
201429,0
608383,0
972758,0
698005,0
244112,0
688669,0
212032,0
918760,0
481488,1
557545,0
928473,0
618370,0
222555,0
214502,0
135993,0
148754,0
480998,0
97217,0
775365,0
586768,0
724137,0
359951,0
922342,0
325788,0
730790,0
413798,0
809102,0
223565,0
44922,0
48927,0
328549,0
11423,0
88073,0
102296,1
459774,0
596977,0
794776,1
582218,0
197607,0
935903,0
523583,0
107234,0
829894,0
521059,0
386436,0
758150,0
922528,0
618765,0
417848,0
335802,0
428818,0
527039,1
40531,0
153427,0
353748,0
413140,0
17567,0
69399,0
4591,0
584780,0
231901,0
666160,0
618033,0
762068,0
981737,0
381726,0
89359,0
132798,1
352059,0
466129,0
867079,0
84891,0
156984,0
821434,0
786112,0
78660,1
265382,0
725665,0
580410,0
432254,0
946158,0
74508,0
997803,0
75738,0
667359,0
752486,0
416230,1
395909,1
335829,0
586536,0
257895,0
21241,0
419981,0
104423,0
549856,0
662603,0
655324,0
343911,0
849644,0
262055,0
959712,0
660093,0
707397,0
214518,0
573908,0
217807,0
2846,0
16720,0
48780,0
896029,0
371834,0
327375,0
771011,0
472818,0
461041,0
582228,0
325978,0
848030,0
308156,0
835157,0
31391,0
126578,0
645239,0
855244,0
481167,0
103485,0
46919,0
353749,0
261558,0
338426,0
50916,0
394049,0
280623,0
726747,0
630498,0
536879,0
452010,0
547074,0
179022,0
679956,0
51612,0
341469,0
6659,0
970593,0
618979,0
431630,0
968495,0
97753,0
593949,0
554226,0
303975,0
724773,0
402365,0
869038,0
183309,0
583445,0
318088,0
163427,1
336015,0
556616,0
76710,1
927724,0
153095,0
315211,0
644567,1
86290,0
393906,0
704265,0
777138,0
914931,0
757407,0
234368,0
515651,0
119237,0
271093,0
224511,0
936643,0
210756,1
841174,0
363192,0
478848,0
309922,0
254112,0
102297,0
45899,0
640141,0
714673,0
794160,0
931767,0
802249,0
189738,1
349022,1
873662,0
697173,0
153003,0
831080,0
271071,0
637375,0
716949,0
825913,0
368499,0
389664,0
380213,0
542747,0
641964,0
150214,0
11017,0
